ID, date, average, transport, household, clothing, health, food, transport_walking, transport_car, transport_train, transport_bus, transport_plane, household_heating, household_electricity, household_furnishings, household_lighting, clothing_fastfashion, clothing_sustainable, health_medicines, health_scans, food_meat, food_fish, food_dairy, food_oils
average,2020-10-28 22:15:50,2227.0,668.1,890.8,267.24,178.16,222.7,153.66,113.58,113.58,126.94,100.22,178.16,178.16,231.61,302.87,179.05,88.19,58.79,119.37,102.44,24.5,44.54,51.22
high,2021-04-13 13:10:07,2838.13,936.58,1106.87,340.58,170.29,283.81,196.68,177.95,103.02,121.76,121.76,298.85,309.92,287.79,210.31,177.1,163.48,100.47,69.82,153.26,39.73,42.57,48.25
low,2021-08-05 20:49:31,1447.31,390.77,376.3,289.46,188.15,202.62,78.15,54.71,78.15,82.06,27.35,101.6,109.13,109.13,56.45,164.99,124.47,48.92,139.23,99.28,32.42,34.45,36.47
average,2021-03-10 15:08:40,2254.39,789.04,856.67,202.9,315.61,90.18,142.03,110.47,86.79,173.59,142.03,94.23,291.27,257.0,214.17,123.77,79.13,107.31,208.3,41.48,17.13,11.72,19.84
high,2020-09-03 18:25:56,3106.97,932.09,1056.37,341.77,341.77,434.98,233.02,214.38,111.85,102.53,111.85,179.58,306.35,338.04,232.4,225.57,116.2,218.73,123.04,169.64,100.05,78.3,87.0
low,2020-11-12 01:09:13,1291.29,503.6,400.3,180.78,154.95,51.65,55.4,95.68,50.36,115.83,95.68,120.09,116.09,92.07,72.05,112.08,68.7,110.01,44.94,14.46,10.85,11.88,14.46
average,2020-09-28 10:49:13,2252.21,743.23,585.57,270.26,292.79,360.35,148.65,215.54,118.92,96.62,133.78,146.39,169.82,117.11,152.25,154.05,116.21,169.82,122.97,147.74,57.66,82.88,72.07
high,2021-04-16 09:41:58,2844.54,1024.03,967.14,426.68,227.56,199.12,174.09,215.05,153.6,184.33,122.88,164.41,222.44,309.48,270.8,213.34,213.34,109.23,118.33,137.39,23.89,15.93,21.9
low,2021-02-17 23:31:11,1328.54,518.13,385.28,146.14,186.0,93.0,124.35,150.26,67.36,56.99,72.54,53.94,104.03,115.58,111.73,90.61,55.53,48.36,137.64,42.78,20.46,16.74,13.02
average,2021-05-04 19:19:22,2203.57,572.93,572.93,352.57,308.5,396.64,57.29,97.4,114.59,108.86,108.86,103.13,131.77,177.61,160.42,229.17,123.4,98.72,209.78,150.72,95.19,67.43,83.29
high,2021-05-26 19:30:50,2589.27,673.21,673.21,388.39,362.5,491.96,154.84,175.03,114.45,53.86,87.52,74.05,228.89,154.84,215.43,225.27,163.12,192.12,170.38,260.74,73.79,103.31,54.12
low,2021-02-26 07:38:46,1596.44,638.58,494.9,143.68,127.72,191.57,178.8,76.63,127.72,95.79,83.02,54.44,143.52,158.37,138.57,83.33,60.35,48.53,79.19,120.69,28.74,22.99,19.16
average,2020-09-20 23:53:07,2265.11,588.93,883.39,249.16,294.46,249.16,70.67,164.9,64.78,94.23,129.56,88.34,203.18,273.85,318.02,154.48,94.68,161.95,132.51,179.4,7.47,32.39,29.9
high,2021-08-29 08:02:49,3194.45,894.45,1150.0,287.5,287.5,575.0,187.83,250.45,161.0,80.5,62.61,310.5,253.0,287.5,299.0,175.38,112.12,158.12,129.38,345.0,63.25,80.5,86.25
low,2021-04-12 07:22:44,1808.77,578.81,614.98,217.05,180.88,217.05,121.55,98.4,92.61,86.82,92.61,104.55,135.3,239.84,135.3,117.21,99.84,132.04,48.84,138.91,23.88,30.39,23.88
average,2021-08-20 01:04:29,2201.76,748.6,594.47,220.18,220.18,418.33,74.86,149.72,97.32,172.18,119.78,112.95,172.4,142.67,166.45,125.5,94.68,125.5,94.68,280.28,37.65,71.12,29.28
high,2021-01-30 03:26:21,2580.97,851.72,877.53,154.86,309.72,387.15,144.79,153.31,144.79,153.31,127.76,193.06,149.18,245.71,289.58,96.01,58.85,188.93,120.79,116.14,108.4,92.92,69.69
low,2020-12-16 02:38:42,1390.47,389.33,389.33,236.38,194.67,180.76,58.4,77.87,42.83,58.4,70.08,101.23,89.55,105.12,93.44,132.37,104.01,72.03,122.64,94.0,28.92,28.92,28.92
average,2021-06-04 10:02:21,2258.34,587.17,700.09,338.75,293.58,338.75,99.82,129.18,93.95,70.46,82.2,98.01,196.03,189.02,217.03,176.15,162.6,96.88,196.7,199.86,47.42,37.26,54.2
high,2020-09-14 20:04:51,3140.53,1099.19,1193.4,314.05,251.24,282.65,142.89,175.87,186.86,186.86,219.84,310.28,393.82,214.81,274.48,157.03,157.03,125.62,125.62,178.07,48.05,28.27,28.27
low,2020-09-10 04:28:13,1338.29,374.72,374.72,214.13,133.83,240.89,59.96,48.71,63.7,56.21,67.45,97.43,74.94,101.17,101.17,143.47,70.66,80.3,53.53,96.36,38.54,38.54,67.45
average,2020-12-22 20:18:14,2259.16,722.93,609.97,293.69,293.69,338.87,130.13,216.88,130.13,50.61,115.67,91.5,121.99,182.99,213.49,199.71,93.98,202.65,91.04,223.65,37.28,50.83,27.11
high,2020-10-15 00:13:51,3109.94,1088.48,870.78,466.49,310.99,373.19,293.89,206.81,195.93,119.73,87.08,174.16,269.94,174.16,252.53,270.56,195.93,108.85,202.14,175.4,82.1,67.17,48.51
low,2021-02-03 11:01:27,1580.4,489.92,505.73,126.43,205.45,252.86,146.98,102.88,93.08,58.79,53.89,121.38,101.15,146.66,136.55,87.24,39.19,115.05,90.4,184.59,32.87,17.7,17.7
average,2021-02-15 17:04:16,2199.38,769.78,659.82,175.95,241.93,351.9,192.44,223.24,130.86,61.58,92.37,171.55,164.96,171.55,151.76,121.41,54.54,116.13,125.8,239.29,42.23,31.67,38.71
high,2021-03-15 22:00:04,2943.04,1147.79,794.62,353.16,264.87,382.6,183.65,183.65,218.08,149.21,195.12,127.14,182.76,262.22,222.49,226.02,127.14,182.76,82.11,126.26,99.48,76.52,80.35
low,2020-10-19 04:30:11,1334.14,333.54,440.27,226.8,133.41,200.12,73.38,40.02,63.37,43.36,73.38,79.25,140.89,88.05,132.08,136.08,90.72,92.05,41.36,130.08,20.01,20.01,30.02
average,2021-07-27 11:57:52,2231.18,892.47,803.22,267.74,111.56,156.18,240.97,223.12,89.25,133.87,71.4,176.71,112.45,224.9,289.16,139.22,128.52,52.43,59.13,54.66,28.11,28.11,45.29
high,2021-01-15 01:51:13,2765.17,912.51,1078.42,359.47,221.21,193.56,146.0,173.38,173.38,136.88,63.88,204.9,269.61,301.96,301.96,219.28,140.19,110.61,110.61,98.72,32.91,19.36,42.58
low,2021-07-20 15:45:38,1217.63,401.82,316.58,170.47,194.82,133.94,104.47,84.38,40.18,60.27,40.18,79.14,82.31,85.48,69.65,115.92,54.55,56.5,138.32,68.31,25.45,10.72,29.47
average,2021-06-20 06:25:53,2239.02,649.32,716.49,291.07,223.9,358.24,168.82,162.33,103.89,51.95,77.92,100.31,214.95,179.12,222.11,192.11,98.96,102.99,120.91,222.11,60.9,28.66,46.57
high,2021-04-26 03:35:48,2931.64,908.81,820.86,322.48,498.38,381.11,145.41,109.06,172.67,163.59,181.76,90.29,287.3,213.42,229.84,187.04,135.44,249.19,249.19,247.72,53.36,30.49,49.54
low,2021-02-24 06:49:17,1467.95,440.38,455.06,146.8,190.83,234.87,105.69,74.86,74.86,39.63,57.25,127.42,91.01,95.56,141.07,74.87,71.93,120.22,70.61,124.48,46.97,30.53,32.88
average,2021-06-08 18:07:18,2231.58,870.32,781.05,133.89,200.84,245.47,156.66,147.95,121.84,156.66,130.55,156.21,242.13,187.45,195.26,87.03,46.86,82.34,118.5,105.55,58.91,39.28,41.73
high,2021-05-09 00:27:36,2956.29,946.01,886.89,561.7,384.32,177.38,170.28,274.34,113.52,160.82,122.98,168.51,239.46,212.85,266.07,331.4,230.3,126.83,257.49,85.14,30.15,33.7,28.38
